id,name_cn,name_en,description_cn,description_en,score
79,是否倾向日常仪式化行为,Ritual Behavior,是否注重固定习惯与日常仪式感,Whether the person values routines and rituals in daily life,
80,是否倾向活在当下,Present Moment Focus,是否专注于当下而非过去未来,Whether the person focuses on the present moment,
81,是否具远见,Visionary Thinking,是否具备远期战略性思维,Whether the person exhibits strategic foresight,
82,是否常反复做决定,Decision Reversal Tendency,是否做事反复纠结犹豫,Whether the person tends to reverse or revisit decisions,
83,是否会在公共场合演讲,Public Speaking Willingness,是否能在公众场合表达观点,Whether the person is comfortable speaking publicly,
84,是否适应多文化环境,Cross-Cultural Adaptability,是否能适应多种文化背景,Whether the person adapts well to cross-cultural contexts,
85,是否坚持原则,Principled Behavior,是否在压力下仍然坚持道德底线,Whether the person maintains principles under pressure,
86,是否易受群体情绪影响,Susceptibility to Group Emotion,是否容易情绪跟随群体变化,Whether the person is emotionally influenced by group dynamics,
87,是否表达需求清晰,Clarity in Expressing Needs,是否能准确表达自己的需求,Whether the person clearly expresses their needs,
88,是否有清晰的自我定位,Clear Self-Identity,是否对自己角色与价值有明确认知,Whether the person has a clear self-concept,
89,是否有目标导向性,Goal Orientation,是否行为以目标为中心,Whether the person acts according to clear goals,
90,是否时间观念强,Strong Time Orientation,是否注重时间效率与计划,Whether the person values time and planning,
91,是否注重细节,Attention to Detail,是否对细节精准要求,Whether the person pays attention to fine details,
92,是否愿意接受他人反馈,Receptive to Feedback,是否乐于接纳他人建议与批评,Whether the person is open to feedback and criticism,
93,是否面对陌生环境焦虑,Stranger Environment Anxiety,是否在陌生环境中易焦虑,Whether the person gets anxious in unfamiliar settings,
94,是否习惯整理归纳,Organizing Habit,是否习惯将信息条理化整理,Whether the person organizes and categorizes information habitually,
95,是否对未来焦虑,Future Anxiety,是否对未来发展担忧,Whether the person feels anxiety about the future,
96,是否相信命运,Belief in Fate,是否认为命运无法改变,Whether the person believes in unchangeable destiny,
97,是否相信个人努力能改变命运,Belief in Effort Over Fate,是否相信靠努力能改写人生,Whether the person believes effort can alter fate,
98,是否善于表达爱,Ability to Express Love,是否能清晰传递情感与爱意,Whether the person expresses love effectively,
99,是否常感孤独,Tendency to Feel Lonely,是否时常感到孤独无依,Whether the person often feels lonely or disconnected,
100,是否具亲密关系恐惧,Fear of Intimacy,是否害怕与人建立深层关系,Whether the person fears deep interpersonal intimacy,
